################################################################
# ThreatFox IOCs: recent ip-port - CSV format                  #
# Last updated: 2025-11-26 10:34:56 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2025-11-26 10:34:56", "1650791", "151.242.30.13:45", "ip:port", "botnet_cc", "elf.mirai", "Katana", "Mirai", "", "80", "None", "mirai", "0", "seckle"
"2025-11-26 08:44:26", "1650774", "142.247.93.104:443", "ip:port", "botnet_cc", "win.qakbot", "Oakboat,Pinkslipbot,Qbot,Quakbot", "QakBot", "2025-11-26 09:44:17", "75", "None", "drb-ra,Qakbot,Qbot,Quakbot", "0", "abuse_ch"
"2025-11-26 08:22:48", "1650756", "49.12.117.167:443", "ip:port", "botnet_cc", "win.vidar", "None", "Vidar", "", "100", "", "Vidar", "0", "crep1x"
"2025-11-26 08:22:48", "1650757", "49.13.38.214:443", "ip:port", "botnet_cc", "win.vidar", "None", "Vidar", "", "100", "", "Vidar", "0", "crep1x"
"2025-11-26 08:22:48", "1650758", "91.98.149.148:443", "ip:port", "botnet_cc", "win.vidar", "None", "Vidar", "", "100", "", "Vidar", "0", "crep1x"
"2025-11-26 08:22:48", "1650759", "192.177.26.104:443", "ip:port", "botnet_cc", "win.vidar", "None", "Vidar", "", "100", "", "Vidar", "0", "crep1x"
"2025-11-26 08:22:48", "1650760", "69.5.189.86:443", "ip:port", "botnet_cc", "win.vidar", "None", "Vidar", "", "100", "", "Vidar", "0", "crep1x"
"2025-11-26 08:22:48", "1650761", "49.13.37.74:443", "ip:port", "botnet_cc", "win.vidar", "None", "Vidar", "", "100", "", "Vidar", "0", "crep1x"
"2025-11-26 08:22:48", "1650762", "46.224.30.92:443", "ip:port", "botnet_cc", "win.vidar", "None", "Vidar", "", "100", "", "Vidar", "0", "crep1x"
"2025-11-26 08:10:27", "1650739", "154.3.40.36:11200", "ip:port", "botnet_cc", "win.purelogs", "None", "PureLogs Stealer", "", "100", "None", "PureLogsStealer", "0", "abuse_ch"
"2025-11-26 08:03:05", "1650736", "201.127.63.222:4444", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "https://search.censys.io/hosts/201.127.63.222", "AS8151,C2,censys,hacktool,MetaSploit,Meterpreter,UNINET", "0", "DonPasci"
"2025-11-26 08:03:00", "1650735", "47.237.173.81:4444", "ip:port", "botnet_cc", "win.adaptix_c2", "None", "AdaptixC2", "", "100", "https://search.censys.io/hosts/47.237.173.81", "AdaptixC2,ALIBABA-CN-NET,AS45102,C2,censys", "0", "DonPasci"
"2025-11-26 08:02:40", "1650734", "74.48.84.76:8081", "ip:port", "botnet_cc", "apk.ermac", "None", "ERMAC", "", "100", "https://search.censys.io/hosts/74.48.84.76", "AS35916,C2,censys,Ermac,MULTA-ASN1,panel", "0", "DonPasci"
"2025-11-26 08:02:36", "1650733", "5.23.52.131:8888", "ip:port", "botnet_cc", "win.dcrat", "DarkCrystal RAT", "DCRat", "", "100", "https://search.censys.io/hosts/5.23.52.131", "AS9123,C2,censys,DcRAT,RAT,TIMEWEB-AS", "0", "DonPasci"
"2025-11-26 08:02:03", "1650731", "185.113.10.170:8443", "ip:port", "botnet_cc", "win.havoc", "Havokiz", "Havoc", "2025-11-26 09:46:13", "100", "https://search.censys.io/hosts/185.113.10.170", "AS205899,C2,censys,Havoc,PAPILIOHOST", "0", "DonPasci"
"2025-11-26 08:02:02", "1650730", "185.113.10.171:8443", "ip:port", "botnet_cc", "win.havoc", "Havokiz", "Havoc", "2025-11-26 09:46:13", "100", "https://search.censys.io/hosts/185.113.10.171", "AS205899,C2,censys,Havoc,PAPILIOHOST", "0", "DonPasci"
"2025-11-26 08:01:53", "1650729", "157.20.182.29:9992", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "100", "https://search.censys.io/hosts/157.20.182.29", "AS152485,AsyncRAT,C2,censys,HOSTER-AS-IN,RAT", "0", "DonPasci"
"2025-11-26 08:01:51", "1650728", "47.84.113.198:8888", "ip:port", "botnet_cc", "unknown", "None", "Unknown malware", "", "100", "https://search.censys.io/hosts/47.84.113.198", "ALIBABA-CN-NET,AS45102,C2,censys,Supershell", "0", "DonPasci"
"2025-11-26 08:01:41", "1650727", "47.96.188.8:8443", "ip:port", "botnet_cc", "win.sliver", "None", "Sliver", "2025-11-26 09:48:28", "100", "https://search.censys.io/hosts/47.96.188.8", "ALIBABA-CN-NET,AS37963,C2,censys,Sliver", "0", "DonPasci"
"2025-11-26 08:01:36", "1650726", "185.174.135.238:80", "ip:port", "botnet_cc", "unknown_rat", "None", "Unknown RAT", "", "100", "https://search.censys.io/hosts/185.174.135.238", "AS59711,C2,censys,HZ-EU-AS,RAT,SpiceRAT", "0", "DonPasci"
"2025-11-26 08:01:35", "1650725", "158.94.209.108:2404", "ip:port", "botnet_cc", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "100", "https://search.censys.io/hosts/158.94.209.108", "AS214943,C2,censys,RAILNET,RAT,Remcos", "0", "DonPasci"
"2025-11-26 08:01:33", "1650724", "91.92.241.197:2404", "ip:port", "botnet_cc", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "2025-11-26 09:49:28", "100", "https://search.censys.io/hosts/91.92.241.197", "AS214943,C2,censys,RAILNET,RAT,Remcos", "0", "DonPasci"
"2025-11-26 08:01:19", "1650723", "158.94.210.135:443", "ip:port", "botnet_cc", "win.latrodectus", "BLACKWIDOW,IceNova,Latrodectus,Lotus", "Latrodectus", "2025-11-26 08:02:31", "100", "https://search.censys.io/hosts/158.94.210.135", "AS214943,C2,censys,Latrodectus,RAILNET", "0", "DonPasci"
"2025-11-26 08:00:42", "1650722", "154.89.195.203:80", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "https://search.censys.io/hosts/154.89.195.203", "AROSS-AS,AS400619,C2,censys,CobaltStrike,cs-watermark-1234567890", "0", "DonPasci"
"2025-11-26 08:00:38", "1650721", "47.104.71.147:443", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "https://search.censys.io/hosts/47.104.71.147", "ALIBABA-CN-NET,AS37963,C2,censys,CobaltStrike,cs-watermark-391144938", "0", "DonPasci"
"2025-11-26 08:00:35", "1650720", "124.222.10.159:443", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "https://search.censys.io/hosts/124.222.10.159", "AS45090,C2,censys,CobaltStrike,cs-watermark-987654321,TENCENT-NET-AP", "0", "DonPasci"
"2025-11-26 08:00:34", "1650719", "178.16.142.243:8080", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "", "100", "https://search.censys.io/hosts/178.16.142.243", "AS-HOSTINGER,AS47583,C2,censys,CobaltStrike,cs-watermark-987654321", "0", "DonPasci"
